,Order Node,Hub No.,Time of Order,Waiting Time,Time of Delivery,Time To Reach,Previous Location,Car Index,Battery Left in Car
505,42431002,11,Day 0 - 14:43:57,Day 0 - 0:29:50,Day 0 - 14:50:20,Day 0 - 0:6:23,42445001,0,2
506,103877180,4,Day 0 - 15:0:8,Day 0 - 0:19:24,Day 0 - 15:2:52,Day 0 - 0:2:44,103876480,0,10
507,103133538,9,Day 0 - 15:2:27,Day 0 - 1:45:27,Day 0 - 15:8:17,Day 0 - 0:5:50,103139586,2,10
508,42536212,12,Day 0 - 15:4:14,Day 0 - 1:29:46,Day 0 - 15:13:17,Day 0 - 0:9:3,42489400,4,5
509,42477376,1,Day 0 - 15:13:39,Day 0 - 0:36:33,Day 0 - 15:22:49,Day 0 - 0:9:10,1773311775,2,7
510,535060613,7,Day 0 - 15:14:20,Day 0 - 0:19:38,Day 0 - 15:23:22,Day 0 - 0:9:2,42863469,0,6
511,42734102,16,Day 0 - 15:14:23,Day 0 - 1:1:24,Day 0 - 15:17:15,Day 0 - 0:2:52,42757571,1,2
512,103156969,9,Day 0 - 15:16:48,Day 0 - 1:20:20,Day 0 - 15:18:49,Day 0 - 0:2:1,103139586,4,10
513,42891682,19,Day 0 - 15:18:30,Day 0 - 1:3:1,Day 0 - 15:29:20,Day 0 - 0:10:50,42806439,0,2
514,42845347,19,Day 0 - 15:19:0,Day 0 - 1:18:15,Day 0 - 15:28:10,Day 0 - 0:9:10,42806439,4,10
515,42823407,7,Day 0 - 15:19:19,Day 0 - 0:55:57,Day 0 - 15:29:22,Day 0 - 0:10:3,42863469,3,10
516,42781955,18,Day 0 - 15:19:58,Day 0 - 1:1:56,Day 0 - 15:30:19,Day 0 - 0:10:21,42737745,0,10
517,103229956,14,Day 0 - 15:20:2,Day 0 - 0:14:40,Day 0 - 15:29:12,Day 0 - 0:9:10,103179971,1,2
518,2089938080,3,Day 0 - 15:22:53,Day 0 - 1:3:32,Day 0 - 15:23:52,Day 0 - 0:0:59,42835538,2,10
519,42732621,18,Day 0 - 15:26:1,Day 0 - 1:42:47,Day 0 - 15:34:47,Day 0 - 0:8:46,42737745,1,10
520,42751683,18,Day 0 - 15:28:28,Day 0 - 0:45:41,Day 0 - 15:37:38,Day 0 - 0:9:10,42737745,2,10
521,42734911,13,Day 0 - 15:30:37,Day 0 - 1:48:7,Day 0 - 15:34:37,Day 0 - 0:4:0,42756259,0,8
522,42863121,17,Day 0 - 15:32:3,Day 0 - 1:19:48,Day 0 - 15:40:23,Day 0 - 0:8:20,42898015,1,9
523,42470278,17,Day 0 - 15:33:38,Day 0 - 1:29:5,Day 0 - 15:54:1,Day 0 - 0:20:23,42898015,3,8
524,42908901,3,Day 0 - 15:34:38,Day 0 - 1:22:9,Day 0 - 15:40:29,Day 0 - 0:5:51,42835538,3,4
525,103208121,9,Day 0 - 15:35:32,Day 0 - 0:12:25,Day 0 - 15:39:42,Day 0 - 0:4:10,103156969,2,9
526,103878786,4,Day 0 - 15:36:8,Day 0 - 1:47:11,Day 0 - 15:43:52,Day 0 - 0:7:44,103876480,0,9
527,42488110,6,Day 0 - 15:39:6,Day 0 - 0:11:0,Day 0 - 15:44:6,Day 0 - 0:5:0,42526618,0,7
528,42494942,6,Day 0 - 15:39:43,Day 0 - 1:46:34,Day 0 - 15:53:3,Day 0 - 0:13:20,42526618,4,1
529,103201204,9,Day 0 - 15:40:19,Day 0 - 0:16:18,Day 0 - 15:49:13,Day 0 - 0:8:54,103156969,0,9
530,42436384,10,Day 0 - 15:40:21,Day 0 - 0:54:13,Day 0 - 15:48:21,Day 0 - 0:8:0,42455465,3,8
531,42843724,7,Day 0 - 15:43:53,Day 0 - 1:29:43,Day 0 - 15:51:7,Day 0 - 0:7:14,42863469,3,9
532,42508391,1,Day 0 - 15:44:0,Day 0 - 0:51:5,Day 0 - 15:59:50,Day 0 - 0:15:50,1773311775,3,6
533,42449926,11,Day 0 - 15:44:18,Day 0 - 0:40:32,Day 0 - 15:51:31,Day 0 - 0:7:13,42445001,2,3
534,42743079,15,Day 0 - 15:45:5,Day 0 - 1:11:50,Day 0 - 15:48:41,Day 0 - 0:3:36,42769868,3,1
535,1398903700,12,Day 0 - 15:54:11,Day 0 - 0:38:18,Day 0 - 16:1:47,Day 0 - 0:7:36,42536212,4,4
536,42729857,16,Day 0 - 15:55:44,Day 0 - 1:43:46,Day 0 - 15:58:10,Day 0 - 0:2:26,42757571,1,1
537,2329087596,15,Day 0 - 16:3:40,Day 0 - 0:28:20,Day 0 - 16:7:32,Day 0 - 0:3:52,42769868,1,10
538,42769615,0,Day 0 - 16:4:12,Day 0 - 0:50:27,Day 0 - 16:9:24,Day 0 - 0:5:12,1346496474,3,3
539,42447187,8,Day 0 - 16:7:19,Day 0 - 0:51:24,Day 0 - 16:10:9,Day 0 - 0:2:50,42444453,1,2
540,42468433,12,Day 0 - 16:7:44,Day 0 - 1:53:17,Day 0 - 16:16:54,Day 0 - 0:9:10,1398903700,0,5
541,42484070,2,Day 0 - 16:11:20,Day 0 - 0:59:11,Day 0 - 16:13:18,Day 0 - 0:1:58,42521132,3,2
542,42475215,17,Day 0 - 16:15:28,Day 0 - 1:48:1,Day 0 - 16:18:32,Day 0 - 0:3:4,42898015,1,8
543,42499385,2,Day 0 - 16:16:0,Day 0 - 0:56:33,Day 0 - 16:18:32,Day 0 - 0:2:32,42521132,2,7
544,42836255,3,Day 0 - 16:19:3,Day 0 - 1:39:30,Day 0 - 16:23:54,Day 0 - 0:4:51,42835538,2,9
545,42794187,5,Day 0 - 16:19:25,Day 0 - 0:51:50,Day 0 - 16:28:35,Day 0 - 0:9:10,588175740,1,2
546,42862035,3,Day 0 - 16:21:13,Day 0 - 1:41:20,Day 0 - 16:32:56,Day 0 - 0:11:43,42835538,1,2
547,42862999,7,Day 0 - 16:22:44,Day 0 - 0:42:29,Day 0 - 16:39:24,Day 0 - 0:16:40,42863469,1,6
548,42768159,13,Day 0 - 16:28:56,Day 0 - 1:46:48,Day 0 - 16:31:33,Day 0 - 0:2:37,42756259,2,10
549,42466517,2,Day 0 - 16:31:36,Day 0 - 1:13:3,Day 0 - 16:33:12,Day 0 - 0:1:36,42521132,0,5
550,103093242,14,Day 0 - 16:31:48,Day 0 - 1:20:56,Day 0 - 16:34:18,Day 0 - 0:2:30,103179971,0,7
551,42726484,0,Day 0 - 16:36:27,Day 0 - 1:2:31,Day 0 - 16:43:7,Day 0 - 0:6:40,1346496474,4,1
552,42440463,11,Day 0 - 16:39:3,Day 0 - 0:59:8,Day 0 - 16:42:48,Day 0 - 0:3:45,42445001,3,4
553,305556510,4,Day 0 - 16:39:10,Day 0 - 1:58:8,Day 0 - 16:43:4,Day 0 - 0:3:54,103876480,1,10
554,103873528,4,Day 0 - 16:39:23,Day 0 - 0:14:55,Day 0 - 16:47:18,Day 0 - 0:7:55,103876480,3,2
555,42760042,13,Day 0 - 16:39:40,Day 0 - 0:58:29,Day 0 - 16:44:39,Day 0 - 0:4:59,42756259,4,10
556,473242253,0,Day 0 - 16:40:52,Day 0 - 0:29:34,Day 0 - 16:50:52,Day 0 - 0:10:0,42742875,1,10
557,42460579,12,Day 0 - 16:43:28,Day 0 - 1:0:4,Day 0 - 16:50:0,Day 0 - 0:6:32,1398903700,3,5
558,2829090597,15,Day 0 - 16:44:35,Day 0 - 0:59:9,Day 0 - 16:48:50,Day 0 - 0:4:15,42769868,1,9
559,42513314,12,Day 0 - 16:44:59,Day 0 - 1:54:46,Day 0 - 16:59:51,Day 0 - 0:14:52,1398903700,2,10
560,42496867,3,Day 0 - 16:46:18,Day 0 - 0:57:42,Day 0 - 16:54:56,Day 0 - 0:8:38,42835538,2,8
561,42750594,13,Day 0 - 16:46:32,Day 0 - 0:45:15,Day 0 - 16:50:12,Day 0 - 0:3:40,42760042,3,1
562,42821491,7,Day 0 - 16:46:48,Day 0 - 0:31:58,Day 0 - 16:53:45,Day 0 - 0:6:57,42863469,3,8
563,42816102,3,Day 0 - 16:46:50,Day 0 - 1:33:6,Day 0 - 16:52:52,Day 0 - 0:6:2,42835538,4,6
564,42765369,0,Day 0 - 16:49:3,Day 0 - 0:25:40,Day 0 - 16:50:23,Day 0 - 0:1:20,42742875,3,2
565,42468836,1,Day 0 - 16:49:30,Day 0 - 0:18:50,Day 0 - 16:51:10,Day 0 - 0:1:40,1773311775,0,5
566,597311398,3,Day 0 - 16:49:31,Day 0 - 0:29:1,Day 0 - 16:58:29,Day 0 - 0:8:58,42816102,1,1
567,103185443,14,Day 0 - 16:56:48,Day 0 - 1:55:14,Day 0 - 17:7:38,Day 0 - 0:10:50,103179971,2,10
568,42844527,3,Day 0 - 16:58:9,Day 0 - 1:23:25,Day 0 - 17:5:19,Day 0 - 0:7:10,42816102,3,3
569,42500194,3,Day 0 - 16:58:38,Day 0 - 1:54:32,Day 0 - 17:8:6,Day 0 - 0:3:10,42816102,2,7
570,42454893,15,Day 0 - 16:59:36,Day 0 - 1:29:24,Day 0 - 17:7:41,Day 0 - 0:8:5,42769868,0,1
571,103211686,14,Day 0 - 16:59:43,Day 0 - 1:55:22,Day 0 - 17:6:23,Day 0 - 0:6:40,103179971,3,10
572,42874179,3,Day 0 - 17:1:27,Day 0 - 1:46:26,Day 0 - 17:9:24,Day 0 - 0:6:32,42816102,4,5
573,42807818,3,Day 0 - 17:2:19,Day 0 - 2:0:0,Day 0 - 17:11:1,Day 0 - 0:8:42,42874179,0,9
574,298939686,14,Day 0 - 17:2:39,Day 0 - 0:26:26,Day 0 - 17:14:19,Day 0 - 0:11:40,103179971,1,1
575,42499383,2,Day 0 - 17:2:44,Day 0 - 1:33:52,Day 0 - 17:3:14,Day 0 - 0:0:30,42521132,2,6
576,42919537,17,Day 0 - 17:8:38,Day 0 - 0:34:44,Day 0 - 17:18:29,Day 0 - 0:9:51,42898015,1,7
577,42482165,10,Day 0 - 17:10:21,Day 0 - 1:59:44,Day 0 - 17:12:40,Day 0 - 0:2:19,42455465,1,9
578,42736261,16,Day 0 - 17:10:37,Day 0 - 1:2:29,Day 0 - 17:13:16,Day 0 - 0:2:39,42757571,1,10
579,42889088,19,Day 0 - 17:11:7,Day 0 - 0:14:19,Day 0 - 17:17:47,Day 0 - 0:6:40,42845347,2,2
580,42533295,12,Day 0 - 17:11:52,Day 0 - 0:46:33,Day 0 - 17:12:42,Day 0 - 0:0:50,1398903700,0,4
581,103239835,14,Day 0 - 17:12:25,Day 0 - 1:43:23,Day 0 - 17:31:48,Day 0 - 0:14:10,103179971,2,9
582,42875128,17,Day 0 - 17:14:46,Day 0 - 0:31:57,Day 0 - 17:26:26,Day 0 - 0:11:40,42898015,4,10
583,2548015246,3,Day 0 - 17:15:58,Day 0 - 1:37:25,Day 0 - 17:16:21,Day 0 - 0:0:23,42874179,3,2
584,42509576,6,Day 0 - 17:19:49,Day 0 - 0:18:0,Day 0 - 17:33:59,Day 0 - 0:14:10,42460288,4,10
585,42783589,13,Day 0 - 17:19:57,Day 0 - 0:32:35,Day 0 - 17:26:31,Day 0 - 0:6:34,42760042,4,9
586,42851731,3,Day 0 - 17:20:9,Day 0 - 1:11:46,Day 0 - 17:25:26,Day 0 - 0:5:17,42874179,4,4
587,42756811,16,Day 0 - 17:21:22,Day 0 - 0:30:31,Day 0 - 17:26:57,Day 0 - 0:3:41,42757571,1,9
588,42500272,12,Day 0 - 17:21:58,Day 0 - 1:32:50,Day 0 - 17:29:28,Day 0 - 0:7:30,1398903700,1,9
589,42890150,17,Day 0 - 17:22:13,Day 0 - 0:53:30,Day 0 - 17:35:33,Day 0 - 0:13:20,42875128,2,4
590,42503083,1,Day 0 - 17:22:39,Day 0 - 1:43:46,Day 0 - 17:28:29,Day 0 - 0:5:50,1773311775,0,4
591,103173801,14,Day 0 - 17:26:31,Day 0 - 1:15:22,Day 0 - 17:44:51,Day 0 - 0:18:20,103179971,3,9
592,42477254,2,Day 0 - 17:26:32,Day 0 - 0:37:59,Day 0 - 17:29:2,Day 0 - 0:2:30,42521132,4,8
593,42444461,8,Day 0 - 17:27:15,Day 0 - 1:30:43,Day 0 - 17:29:24,Day 0 - 0:2:9,42444453,4,4
594,42886570,5,Day 0 - 17:29:45,Day 0 - 1:34:48,Day 0 - 18:1:25,Day 0 - 0:31:40,588175740,0,2
595,42524843,6,Day 0 - 17:33:48,Day 0 - 1:14:10,Day 0 - 17:47:58,Day 0 - 0:14:10,42509576,0,6
596,42508040,6,Day 0 - 17:36:44,Day 0 - 1:41:35,Day 0 - 17:51:28,Day 0 - 0:14:44,42509576,3,1
597,42475198,17,Day 0 - 17:36:47,Day 0 - 1:49:12,Day 0 - 17:40:57,Day 0 - 0:4:10,42875128,3,7
598,1257470573,6,Day 0 - 17:37:50,Day 0 - 0:41:24,Day 0 - 17:47:50,Day 0 - 0:10:0,42509576,1,2
599,103861925,4,Day 0 - 17:43:0,Day 0 - 0:26:18,Day 0 - 17:48:1,Day 0 - 0:5:1,103876480,3,1
600,42739773,13,Day 0 - 17:44:5,Day 0 - 0:52:19,Day 0 - 17:45:20,Day 0 - 0:1:15,42783589,3,10
601,42524113,2,Day 0 - 17:45:34,Day 0 - 0:17:16,Day 0 - 17:50:2,Day 0 - 0:4:28,42477254,2,5
602,103867708,4,Day 0 - 17:47:22,Day 0 - 1:24:23,Day 0 - 17:51:32,Day 0 - 0:4:10,103876480,0,8
603,42865312,19,Day 0 - 17:48:0,Day 0 - 1:36:25,Day 0 - 17:53:50,Day 0 - 0:5:50,42845347,4,9
604,595757816,15,Day 0 - 17:49:30,Day 0 - 1:5:34,Day 0 - 17:52:59,Day 0 - 0:3:29,42769868,0,10
605,103881166,4,Day 0 - 17:51:9,Day 0 - 0:30:53,Day 0 - 17:52:41,Day 0 - 0:1:32,103876480,1,9
606,42810310,3,Day 0 - 17:53:4,Day 0 - 0:30:58,Day 0 - 17:56:47,Day 0 - 0:3:43,42851731,3,1
607,42479717,2,Day 0 - 17:53:30,Day 0 - 0:24:39,Day 0 - 18:6:51,Day 0 - 0:13:21,42477254,3,1
608,42437319,15,Day 0 - 17:53:40,Day 0 - 0:53:27,Day 0 - 17:59:18,Day 0 - 0:5:38,42769868,2,10
609,42920393,3,Day 0 - 17:54:1,Day 0 - 0:29:24,Day 0 - 17:58:49,Day 0 - 0:4:48,42851731,1,10
610,42905512,17,Day 0 - 17:54:14,Day 0 - 0:29:45,Day 0 - 18:0:3,Day 0 - 0:5:49,42875128,1,6
611,598227894,2,Day 0 - 17:54:21,Day 0 - 0:45:6,Day 0 - 17:56:23,Day 0 - 0:2:2,42477254,0,4
612,42786708,3,Day 0 - 17:54:25,Day 0 - 1:34:55,Day 0 - 18:1:9,Day 0 - 0:6:44,42851731,2,6
613,42919984,7,Day 0 - 17:55:12,Day 0 - 0:14:50,Day 0 - 18:1:58,Day 0 - 0:6:46,42863469,3,7
614,42436919,11,Day 0 - 17:59:53,Day 0 - 0:37:48,Day 0 - 18:4:37,Day 0 - 0:4:44,42445001,1,2
615,42529856,10,Day 0 - 18:1:5,Day 0 - 0:13:4,Day 0 - 18:5:55,Day 0 - 0:4:50,42455465,1,8
616,42758006,16,Day 0 - 18:1:13,Day 0 - 1:56:47,Day 0 - 18:7:14,Day 0 - 0:6:1,42757571,2,1
617,103268113,9,Day 0 - 18:1:55,Day 0 - 0:13:42,Day 0 - 18:8:37,Day 0 - 0:6:42,103156969,0,8
618,42516974,6,Day 0 - 18:2:35,Day 0 - 0:28:2,Day 0 - 18:13:25,Day 0 - 0:10:50,42509576,2,1
619,42464543,2,Day 0 - 18:3:41,Day 0 - 1:26:25,Day 0 - 18:6:29,Day 0 - 0:2:48,42477254,2,4
620,42740190,15,Day 0 - 18:5:12,Day 0 - 1:42:0,Day 0 - 18:7:13,Day 0 - 0:2:1,42769868,1,8
621,42737755,18,Day 0 - 18:5:33,Day 0 - 1:41:2,Day 0 - 18:8:53,Day 0 - 0:3:20,42737745,3,10
622,42794198,5,Day 0 - 18:7:44,Day 0 - 0:26:56,Day 0 - 18:11:4,Day 0 - 0:3:20,588175740,1,1
623,42487802,1,Day 0 - 18:10:34,Day 0 - 1:59:35,Day 0 - 18:20:34,Day 0 - 0:10:0,1773311775,3,5
624,42763837,13,Day 0 - 18:13:37,Day 0 - 0:39:58,Day 0 - 18:15:28,Day 0 - 0:1:51,42783589,3,9
625,42876068,3,Day 0 - 18:14:35,Day 0 - 0:11:23,Day 0 - 18:20:26,Day 0 - 0:5:51,42851731,2,5
626,280636423,7,Day 0 - 18:17:12,Day 0 - 1:2:31,Day 0 - 18:26:22,Day 0 - 0:9:10,42863469,2,7
627,42739892,18,Day 0 - 18:19:11,Day 0 - 1:56:59,Day 0 - 18:20:50,Day 0 - 0:1:39,42737745,0,9
628,42446772,8,Day 0 - 18:19:18,Day 0 - 0:34:12,Day 0 - 18:21:1,Day 0 - 0:1:43,42444461,0,10
629,2402842564,3,Day 0 - 18:20:11,Day 0 - 0:56:59,Day 0 - 18:22:53,Day 0 - 0:2:42,42851731,0,8
630,76464207,14,Day 0 - 18:22:38,Day 0 - 0:36:21,Day 0 - 18:28:28,Day 0 - 0:5:50,103179971,1,10
631,42533224,1,Day 0 - 18:24:47,Day 0 - 1:33:25,Day 0 - 18:33:4,Day 0 - 0:2:30,1773311775,3,4
632,42482569,2,Day 0 - 18:25:17,Day 0 - 1:2:30,Day 0 - 18:28:49,Day 0 - 0:3:32,42477254,2,3
633,277787301,7,Day 0 - 18:26:27,Day 0 - 0:36:16,Day 0 - 18:30:28,Day 0 - 0:4:1,42863469,3,6
634,42480244,1,Day 0 - 18:26:43,Day 0 - 0:56:16,Day 0 - 18:36:43,Day 0 - 0:10:0,1773311775,2,6
635,42903957,7,Day 0 - 18:28:8,Day 0 - 0:56:25,Day 0 - 18:34:45,Day 0 - 0:6:37,42863469,4,7
636,597443931,3,Day 0 - 18:29:26,Day 0 - 0:41:27,Day 0 - 18:34:5,Day 0 - 0:4:39,42851731,4,3
637,42820352,17,Day 0 - 18:29:58,Day 0 - 0:39:47,Day 0 - 18:42:28,Day 0 - 0:12:30,42875128,2,3
638,42765426,0,Day 0 - 18:30:30,Day 0 - 0:38:6,Day 0 - 18:38:0,Day 0 - 0:7:30,42742875,2,10
639,42476335,12,Day 0 - 18:31:28,Day 0 - 0:58:20,Day 0 - 18:39:19,Day 0 - 0:7:51,1398903700,1,8
640,42787696,17,Day 0 - 18:32:4,Day 0 - 0:46:6,Day 0 - 18:46:14,Day 0 - 0:14:10,42875128,0,5
641,42808548,19,Day 0 - 18:33:12,Day 0 - 0:17:42,Day 0 - 18:44:52,Day 0 - 0:11:40,42865312,4,8
642,42788174,17,Day 0 - 18:36:33,Day 0 - 0:42:31,Day 0 - 18:44:3,Day 0 - 0:7:30,42875128,4,9
643,1399253501,19,Day 0 - 18:38:56,Day 0 - 0:49:35,Day 0 - 18:45:36,Day 0 - 0:6:40,42808548,2,1
644,42834951,7,Day 0 - 18:39:8,Day 0 - 0:52:23,Day 0 - 18:44:43,Day 0 - 0:4:15,42903957,3,5
645,42808179,3,Day 0 - 18:39:34,Day 0 - 0:44:21,Day 0 - 18:44:33,Day 0 - 0:4:59,597443931,3,10
646,42880559,3,Day 0 - 18:40:17,Day 0 - 1:28:26,Day 0 - 18:43:41,Day 0 - 0:3:24,597443931,1,9
647,42504720,17,Day 0 - 18:40:43,Day 0 - 0:52:48,Day 0 - 18:47:28,Day 0 - 0:6:45,42788174,3,6
648,42824219,3,Day 0 - 18:41:29,Day 0 - 1:24:20,Day 0 - 18:46:34,Day 0 - 0:5:5,597443931,0,7
649,42431230,16,Day 0 - 18:42:7,Day 0 - 1:32:24,Day 0 - 18:48:39,Day 0 - 0:6:32,42757571,0,9
650,42881963,7,Day 0 - 18:42:37,Day 0 - 1:26:49,Day 0 - 18:48:41,Day 0 - 0:6:4,42903957,0,5
651,42477864,12,Day 0 - 18:45:26,Day 0 - 0:15:54,Day 0 - 18:55:17,Day 0 - 0:9:51,1398903700,4,3
652,42926866,7,Day 0 - 18:45:28,Day 0 - 0:40:53,Day 0 - 18:49:53,Day 0 - 0:4:25,42903957,4,6
653,42488310,10,Day 0 - 18:47:35,Day 0 - 1:35:28,Day 0 - 18:52:10,Day 0 - 0:4:35,42455465,2,10
654,42517036,2,Day 0 - 18:48:24,Day 0 - 0:22:37,Day 0 - 18:51:8,Day 0 - 0:2:44,42477254,2,2
655,42467417,2,Day 0 - 18:50:4,Day 0 - 0:54:47,Day 0 - 18:50:15,Day 0 - 0:0:11,42477254,0,3
656,42487564,2,Day 0 - 18:52:28,Day 0 - 1:50:5,Day 0 - 18:53:22,Day 0 - 0:0:54,42477254,4,7
657,42442918,11,Day 0 - 18:54:4,Day 0 - 1:18:34,Day 0 - 18:55:50,Day 0 - 0:1:46,42445001,2,2
658,42806068,7,Day 0 - 18:55:56,Day 0 - 0:31:39,Day 0 - 19:3:26,Day 0 - 0:7:30,42926866,2,6
659,42516460,12,Day 0 - 18:58:18,Day 0 - 0:52:18,Day 0 - 19:12:1,Day 0 - 0:13:43,42477864,3,4
660,42528982,17,Day 0 - 18:58:22,Day 0 - 1:46:15,Day 0 - 19:0:52,Day 0 - 0:2:30,42788174,3,5
661,42735494,16,Day 0 - 18:58:37,Day 0 - 0:46:36,Day 0 - 19:6:0,Day 0 - 0:7:23,42757571,2,10
662,42436748,11,Day 0 - 18:59:39,Day 0 - 1:41:11,Day 0 - 19:6:15,Day 0 - 0:6:36,42445001,3,3
663,103317407,9,Day 0 - 18:59:40,Day 0 - 0:11:17,Day 0 - 19:8:8,Day 0 - 0:8:28,103156969,0,7
664,42905485,17,Day 0 - 19:0:19,Day 0 - 0:13:34,Day 0 - 19:11:9,Day 0 - 0:10:50,42788174,1,5
665,42436155,10,Day 0 - 19:0:51,Day 0 - 1:48:42,Day 0 - 19:3:37,Day 0 - 0:2:46,42455465,3,7
666,1167491913,1,Day 0 - 19:2:41,Day 0 - 0:38:3,Day 0 - 19:6:51,Day 0 - 0:4:10,1773311775,4,7
667,42901824,7,Day 0 - 19:5:5,Day 0 - 1:10:34,Day 0 - 19:7:50,Day 0 - 0:2:45,42926866,4,5
668,42738819,18,Day 0 - 19:7:36,Day 0 - 1:43:31,Day 0 - 19:14:41,Day 0 - 0:7:5,42737745,0,8
669,103864675,4,Day 0 - 19:10:23,Day 0 - 1:7:22,Day 0 - 19:17:3,Day 0 - 0:6:40,103876480,4,1
670,42934606,19,Day 0 - 19:10:37,Day 0 - 0:20:43,Day 0 - 19:15:37,Day 0 - 0:5:0,42808548,0,1
671,42887610,17,Day 0 - 19:14:19,Day 0 - 0:45:55,Day 0 - 19:25:59,Day 0 - 0:11:40,42788174,4,8
672,42488034,1,Day 0 - 19:15:5,Day 0 - 1:58:18,Day 0 - 19:18:25,Day 0 - 0:3:20,1167491913,0,3
673,374463910,16,Day 0 - 19:17:24,Day 0 - 0:14:32,Day 0 - 19:19:5,Day 0 - 0:1:41,42757571,0,8
674,42808170,3,Day 0 - 19:17:25,Day 0 - 1:29:44,Day 0 - 19:18:34,Day 0 - 0:1:9,597443931,4,2
675,42935137,3,Day 0 - 19:18:33,Day 0 - 1:11:36,Day 0 - 19:21:19,Day 0 - 0:2:46,42808170,0,6
676,1372888722,6,Day 0 - 19:19:57,Day 0 - 1:10:26,Day 0 - 19:34:7,Day 0 - 0:14:10,42509576,2,10
677,42810185,7,Day 0 - 19:20:14,Day 0 - 0:14:13,Day 0 - 19:30:14,Day 0 - 0:10:0,42901824,2,5
678,42858015,17,Day 0 - 19:20:25,Day 0 - 1:1:55,Day 0 - 19:38:25,Day 0 - 0:17:16,42887610,1,4
679,60923723,15,Day 0 - 19:21:55,Day 0 - 0:40:2,Day 0 - 19:24:27,Day 0 - 0:2:32,42769868,1,7
680,42477566,12,Day 0 - 19:23:10,Day 0 - 0:20:19,Day 0 - 19:29:25,Day 0 - 0:6:15,42477864,1,7
681,42775897,18,Day 0 - 19:24:4,Day 0 - 0:22:25,Day 0 - 19:45:4,Day 0 - 0:21:0,42737745,1,9
682,42759530,18,Day 0 - 19:24:21,Day 0 - 0:32:13,Day 0 - 19:41:51,Day 0 - 0:17:30,42737745,4,10
683,42513041,12,Day 0 - 19:24:26,Day 0 - 1:13:1,Day 0 - 19:34:40,Day 0 - 0:10:14,42477864,4,2
684,42481580,2,Day 0 - 19:25:49,Day 0 - 0:35:56,Day 0 - 19:31:20,Day 0 - 0:5:31,42487564,2,1
685,42737543,15,Day 0 - 19:27:4,Day 0 - 1:5:54,Day 0 - 19:28:55,Day 0 - 0:1:51,42769868,0,9
686,42503093,1,Day 0 - 19:27:20,Day 0 - 1:9:7,Day 0 - 19:35:55,Day 0 - 0:7:30,1167491913,0,2
687,42742479,13,Day 0 - 19:28:34,Day 0 - 1:19:57,Day 0 - 19:29:51,Day 0 - 0:1:17,42783589,3,8
688,42824413,17,Day 0 - 19:30:13,Day 0 - 1:50:47,Day 0 - 19:36:3,Day 0 - 0:5:50,42887610,0,4
689,42491859,1,Day 0 - 19:31:44,Day 0 - 0:41:2,Day 0 - 19:50:54,Day 0 - 0:19:10,1167491913,3,3
690,42876795,3,Day 0 - 19:31:48,Day 0 - 1:10:50,Day 0 - 19:35:13,Day 0 - 0:3:25,42808170,3,9
691,103861535,4,Day 0 - 19:35:21,Day 0 - 1:10:45,Day 0 - 19:38:58,Day 0 - 0:3:37,103855635,1,8
692,598784313,1,Day 0 - 19:39:35,Day 0 - 1:54:2,Day 0 - 19:51:15,Day 0 - 0:11:40,1167491913,2,5
693,42473089,12,Day 0 - 19:41:21,Day 0 - 1:29:41,Day 0 - 19:46:21,Day 0 - 0:5:0,42513041,3,3
694,452393056,12,Day 0 - 19:41:56,Day 0 - 1:30:53,Day 0 - 19:51:56,Day 0 - 0:10:0,42513041,0,3
695,103119568,9,Day 0 - 19:42:21,Day 0 - 1:34:21,Day 0 - 19:56:44,Day 0 - 0:14:23,103156969,2,8
696,103310028,9,Day 0 - 19:45:32,Day 0 - 1:30:23,Day 0 - 19:50:32,Day 0 - 0:5:0,103156969,1,2
697,42447176,8,Day 0 - 19:45:58,Day 0 - 0:38:20,Day 0 - 19:47:7,Day 0 - 0:1:9,42444461,1,1
698,595800941,8,Day 0 - 19:48:37,Day 0 - 0:17:36,Day 0 - 19:51:8,Day 0 - 0:2:31,42444461,4,3
699,42500832,12,Day 0 - 19:49:27,Day 0 - 0:45:17,Day 0 - 19:58:37,Day 0 - 0:9:10,42513041,2,9
700,42914152,17,Day 0 - 19:49:27,Day 0 - 0:26:25,Day 0 - 20:1:22,Day 0 - 0:11:55,42887610,3,4
701,42487265,6,Day 0 - 19:50:49,Day 0 - 0:39:30,Day 0 - 20:5:49,Day 0 - 0:15:0,42509576,1,1
702,42875133,7,Day 0 - 19:51:58,Day 0 - 1:14:2,Day 0 - 20:2:48,Day 0 - 0:10:50,42901824,1,5
703,42909105,17,Day 0 - 19:52:9,Day 0 - 0:29:21,Day 0 - 20:7:9,Day 0 - 0:15:0,42887610,2,2
704,42435316,8,Day 0 - 19:53:18,Day 0 - 1:42:40,Day 0 - 19:58:47,Day 0 - 0:5:29,595800941,0,9
705,42489472,3,Day 0 - 19:53:54,Day 0 - 1:45:43,Day 0 - 19:59:19,Day 0 - 0:5:25,42808170,2,4
706,42432700,11,Day 0 - 19:54:54,Day 0 - 1:24:20,Day 0 - 19:57:37,Day 0 - 0:2:43,42445001,4,2
707,103133532,9,Day 0 - 19:55:51,Day 0 - 1:7:24,Day 0 - 20:5:1,Day 0 - 0:9:10,103156969,4,9
708,42740650,0,Day 0 - 19:56:15,Day 0 - 1:9:47,Day 0 - 20:2:5,Day 0 - 0:5:50,42742875,4,10
