,Order Node,Hub No.,Time of Order,Waiting Time,Time of Delivery,Time To Reach,Previous Location,Car Index,Battery Left in Car
469,42881735,7,Day 0 - 13:55:51,Day 0 - 0:56:13,Day 0 - 14:2:30,Day 0 - 0:6:39,42843713,1,8
470,103873543,4,Day 0 - 13:58:36,Day 0 - 1:35:29,Day 0 - 14:4:36,Day 0 - 0:6:0,103876480,0,1
471,42764942,13,Day 0 - 13:58:43,Day 0 - 0:58:36,Day 0 - 14:2:38,Day 0 - 0:3:55,42756259,1,2
472,42729809,13,Day 0 - 13:58:57,Day 0 - 0:58:40,Day 0 - 14:6:0,Day 0 - 0:2:30,42756259,0,9
473,42814240,7,Day 0 - 13:58:57,Day 0 - 1:45:21,Day 0 - 14:2:51,Day 0 - 0:3:54,42843713,0,8
474,42936526,7,Day 0 - 14:2:44,Day 0 - 0:50:5,Day 0 - 14:25:54,Day 0 - 0:23:10,42843713,2,9
475,42480985,2,Day 0 - 14:4:34,Day 0 - 1:23:36,Day 0 - 14:11:29,Day 0 - 0:6:55,42521132,3,3
476,103217263,14,Day 0 - 14:6:49,Day 0 - 1:38:33,Day 0 - 14:19:19,Day 0 - 0:12:30,103179971,3,2
477,42515709,12,Day 0 - 14:8:32,Day 0 - 1:59:28,Day 0 - 14:21:2,Day 0 - 0:12:30,42942574,0,6
478,42832590,7,Day 0 - 14:10:39,Day 0 - 0:49:18,Day 0 - 14:13:42,Day 0 - 0:0:51,42843713,0,7
479,103303258,14,Day 0 - 14:13:0,Day 0 - 1:2:5,Day 0 - 14:16:20,Day 0 - 0:3:20,103179971,2,1
480,42502701,2,Day 0 - 14:13:55,Day 0 - 0:58:26,Day 0 - 14:16:7,Day 0 - 0:2:12,42521132,0,6
481,42817927,3,Day 0 - 14:14:20,Day 0 - 0:35:1,Day 0 - 14:15:42,Day 0 - 0:1:22,1904847201,3,6
482,42460594,1,Day 0 - 14:14:35,Day 0 - 1:22:1,Day 0 - 14:19:35,Day 0 - 0:5:0,42502063,3,7
483,274184216,19,Day 0 - 14:15:47,Day 0 - 1:32:27,Day 0 - 14:24:57,Day 0 - 0:9:10,42806439,1,10
484,103230904,14,Day 0 - 14:16:5,Day 0 - 1:12:12,Day 0 - 14:33:29,Day 0 - 0:4:10,103179971,3,1
