,Hub No.,Car Index,Time When Reach Hub,Time on Road
99,5,2,Day 0 - 23:13:5,Day 0 - 0:29:10
100,7,3,Day 0 - 23:2:56,Day 0 - 9:10:7
101,7,0,Day 0 - 23:17:45,Day 0 - 11:55:24
102,8,4,Day 0 - 23:20:0,Day 0 - 11:27:51
103,10,4,Day 0 - 23:28:50,Day 0 - 15:0:42
104,12,1,Day 0 - 23:31:46,Day 0 - 2:41:36
105,10,3,Day 0 - 23:52:57,Day 0 - 0:32:29
106,19,3,Day 0 - 23:53:11,Day 0 - 19:33:13
107,3,2,Day 0 - 23:46:14,Day 0 - 1:51:2
108,17,4,Day 0 - 23:52:44,Day 0 - 6:37:58
109,3,0,Day 1 - 0:5:29,Day 0 - 2:12:50
110,3,3,Day 1 - 0:10:3,Day 0 - 2:8:40
111,12,3,Day 1 - 0:49:26,Day 0 - 14:35:33
112,18,0,Day 1 - 1:14:59,Day 0 - 6:7:23
113,6,0,Day 1 - 1:27:26,Day 0 - 15:14:7
114,5,0,Day 1 - 2:15:41,Day 0 - 0:50:0
115,1,4,Day 1 - 2:34:56,Day 0 - 17:25:24
116,11,2,Day 1 - 2:20:49,Day 0 - 20:5:33
117,16,4,Day 1 - 2:45:41,Day 0 - 16:43:13
118,11,3,Day 1 - 2:44:14,Day 0 - 20:13:29
119,1,1,Day 1 - 4:50:25,Day 0 - 1:25:0
120,7,4,Day 1 - 4:31:55,Day 0 - 16:55:59
121,19,4,Day 1 - 5:55:22,Day 0 - 14:36:22
122,10,2,Day 1 - 7:21:58,Day 0 - 4:8:25
123,4,1,Day 1 - 7:37:29,Day 0 - 9:9:37
124,15,0,Day 1 - 7:36:55,Day 0 - 9:2:39
125,3,1,Day 1 - 7:45:47,Day 0 - 9:52:48
126,3,4,Day 1 - 8:10:34,Day 0 - 10:6:9
127,16,3,Day 1 - 8:58:55,Day 0 - 23:23:23
128,14,3,Day 1 - 9:41:35,Day 0 - 19:25:30
129,0,0,Day 1 - 9:39:42,Day 0 - 23:55:56
130,19,1,Day 1 - 9:47:3,Day 0 - 19:6:1
131,13,3,Day 1 - 10:18:58,Day 0 - 17:32:26
132,12,4,Day 1 - 10:32:16,Day 0 - 13:14:50
133,12,3,Day 1 - 10:55:3,Day 0 - 0:31:32
134,15,2,Day 1 - 10:55:38,Day 0 - 10:5:6
135,2,2,Day 1 - 11:17:27,Day 0 - 15:51:38
136,3,3,Day 1 - 12:1:52,Day 0 - 12:8:57
137,17,0,Day 1 - 12:52:2,Day 0 - 10:8:7
138,17,2,Day 1 - 13:20:30,Day 0 - 5:34:33
139,10,0,Day 1 - 13:20:32,Day 1 - 5:57:22
140,14,0,Day 1 - 13:1:40,Day 1 - 8:22:1
141,7,4,Day 1 - 13:20:34,Day 0 - 6:1:41
142,9,0,Day 1 - 13:51:47,Day 0 - 23:29:42
143,5,3,Day 1 - 14:4:21,Day 0 - 0:42:30
144,6,3,Day 1 - 13:56:49,Day 0 - 20:20:5
145,10,1,Day 1 - 14:36:20,Day 0 - 12:25:42
146,7,3,Day 1 - 14:39:35,Day 0 - 1:15:4
147,1,3,Day 1 - 15:38:4,Day 0 - 11:20:8
148,18,2,Day 1 - 15:36:58,Day 1 - 0:8:30
149,14,2,Day 1 - 15:36:21,Day 1 - 1:23:21
150,7,1,Day 1 - 15:46:48,Day 1 - 4:56:42
151,2,4,Day 1 - 15:59:20,Day 1 - 3:0:5
152,3,2,Day 1 - 15:59:56,Day 0 - 7:44:31
153,14,4,Day 1 - 16:30:14,Day 1 - 11:21:47
154,0,4,Day 1 - 16:31:27,Day 0 - 20:35:12
155,12,1,Day 1 - 16:32:5,Day 0 - 6:16:58
156,16,2,Day 1 - 16:38:54,Day 0 - 12:34:37
157,1,2,Day 1 - 17:45:11,Day 0 - 14:51:34
158,1,0,Day 1 - 17:14:18,Day 0 - 14:43:45
159,11,4,Day 1 - 16:49:30,Day 0 - 19:18:29
160,19,2,Day 1 - 16:57:50,Day 0 - 22:18:54
161,18,1,Day 1 - 17:11:14,Day 0 - 21:47:10
162,2,1,Day 1 - 16:50:38,Day 0 - 0:16:50
163,12,0,Day 1 - 17:13:21,Day 0 - 19:59:8
164,18,4,Day 1 - 17:24:57,Day 0 - 22:0:36
165,1,4,Day 1 - 17:56:40,Day 0 - 13:7:18
166,16,1,Day 1 - 17:40:52,Day 1 - 1:45:8
167,4,0,Day 1 - 17:31:53,Day 0 - 20:9:4
168,18,3,Day 1 - 18:7:32,Day 0 - 0:37:30
169,1,0,Day 1 - 18:26:48,Day 0 - 0:53:56
170,3,1,Day 1 - 18:6:44,Day 0 - 9:29:10
171,14,1,Day 1 - 18:26:16,Day 1 - 1:23:37
172,4,2,Day 1 - 18:41:7,Day 0 - 21:41:48
